,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2012-07-31,220712.43116639787,412860.6592757684,218292.9856283859,215271.21670920993,222834.0625942709
2012-08-31,220234.78383197225,413064.28264847584,217582.20874316883,214368.1783007173,222362.32491619056
2012-09-30,219738.38519033816,412885.9960853736,216999.67017769683,213081.53425559888,221487.66663793055
2012-10-31,219322.11351443865,412523.18298856093,216377.49501146204,212172.773974833,220847.20162969187
2012-11-30,219322.77086098513,412529.884031568,216017.46874470476,211732.44951200308,220673.5324588786
2012-12-31,219479.25070973995,413102.8838360154,215904.48109103352,211837.4993014446,220890.5155141229
2013-01-31,220258.87436621336,413931.48365832184,216270.79976247053,211800.91406597663,221443.6828998806
2013-02-28,221177.74201318072,414514.43562914385,217057.91970935895,212018.60496302423,221577.6852857472
2013-03-31,222024.3888856621,415269.27765435615,217670.1411732028,211928.96018145952,221141.06226950875
2013-04-30,222423.50426800453,416656.1138669661,218195.0885630173,212048.5350797328,220369.12715607963
2013-05-31,222765.24847705747,418480.9073997888,218499.6191902009,212552.38838455165,220000.489270815
2013-06-30,223057.2477312619,420319.4203332946,219136.09107951852,213495.30059902463,220398.67226492357
2013-07-31,223404.38652963864,422385.252651383,219797.6458637225,214465.0019913824,221239.96076655085
2013-08-31,223543.69136130996,424766.97992253146,220350.4723715,215052.86543300023,222396.09774000017
2013-09-30,223570.7334766176,427270.1782561594,220729.11613738548,215254.8763149581,223324.02158710893
2013-10-31,223506.16826966064,430002.36540599406,221158.42268020817,215638.12121418025,224308.8552755257
2013-11-30,223611.25635890724,432396.6846826365,221513.08716853653,215907.84364850665,224827.5134222423
2013-12-31,223861.33482624893,434379.0113288989,221972.0709647845,216345.3503246419,225159.28995180505
2014-01-31,224292.51418780664,435205.7071037129,222255.653295555,216433.66929053928,225528.9005909653
2014-02-28,224558.00587606535,435373.745592891,222606.73997678756,216265.87429777873,225633.72942647265
2014-03-31,225155.94184669497,435714.89458933304,222781.51441715055,215989.68772634031,225806.97033471183
2014-04-30,225647.5800082961,437141.94573630026,223103.0931257455,216096.2687676989,225628.45999576573
2014-05-31,226396.63025455407,438845.03276879527,223448.3027406241,216923.10259914224,226231.69839883773
2014-06-30,226624.60740787964,439704.99764586514,223644.478871421,217611.09380269956,226999.86042984316
2014-07-31,226670.584772849,439569.28656270937,223634.72960699,217985.61498666104,227830.98582912015
2014-08-31,226286.18984859437,439006.4102172337,223226.3945373443,217720.49975708852,228092.4485111517
2014-09-30,225750.69067284433,438691.0129277231,222691.42206732163,217354.492576185,228130.0705689568
2014-10-31,225033.30816222215,438041.0377200089,221885.56127353432,216811.07523507855,227697.8409439983
2014-11-30,224743.35437313223,438110.5210696301,221548.3147525418,216743.974480342,227167.1080950125
2014-12-31,224687.289094403,438243.86465380254,221310.61416913316,216945.59474383865,226418.60438881212
2015-01-31,224988.34279792596,438845.29376005166,221067.1822430723,217157.933079464,226485.05973615625
2015-02-28,225026.69607451113,439130.22920695296,220601.3172582004,217417.9206065743,226871.21848298417
2015-03-31,225309.26989901284,440342.61600827257,220502.43115426143,217759.5748036576,227695.90909009892
2015-04-30,225594.55574763223,441563.0716439678,220688.9662682854,218429.6541672039,228070.5101470957
2015-05-31,226124.51583531595,442363.68639998464,221017.29453755423,219026.6792715604,228501.64711999556
2015-06-30,226363.3758191484,441985.21431707096,221170.1212852985,219417.8478709768,228806.18070992557
2015-07-31,226604.19437188355,441875.72616729257,221685.18151936276,219847.06577236543,229151.7664325462
2015-08-31,226743.74663856896,442453.7704741628,222204.89733644505,220200.29625379192,229323.55816529613
2015-09-30,226997.29330516388,443692.56524090894,222861.9192096379,220617.59629791623,229278.98291775133
2015-10-31,227371.4309237158,445101.756147926,223163.98105355012,221033.24598686953,229382.80123817627
2015-11-30,227672.9543361986,446588.507896652,223275.2515453796,221356.8347880802,229958.1756102366
2015-12-31,227816.02309967703,447624.932689252,222992.13008101113,221601.6985796972,230384.3373690107
2016-01-31,228253.97521341595,447994.7044872178,222807.0714723425,221896.0470995712,230929.8150999405
2016-02-29,228494.7986997723,447742.6674628589,222710.71582541327,221932.6306244358,230454.73687555944
2016-03-31,228814.4550393157,447685.00221789855,222708.29340695404,221838.994413502,230304.5704390877
2016-04-30,228688.20973957493,447637.262369679,222870.2155130091,221449.8777962917,229882.3848522248
2016-05-31,228991.0693568889,447781.33375541173,223179.463588806,221488.25012738552,230550.100506036
2016-06-30,229265.62477944477,447080.5061016667,223696.63522121173,221670.8227420496,231439.86827619493
2016-07-31,229381.1754063849,446465.7622699169,223838.91130363444,221832.9345913441,232359.5259799717
2016-08-31,229374.55513423527,445597.9869886296,223929.3797812688,221997.1183019559,232778.15397989596
2016-09-30,229381.10249508705,445083.07342058513,223901.10144867495,222371.01884904224,232735.86635552393
2016-10-31,229783.45462087297,445378.51674920315,224226.830308051,223375.57056701952,232714.24284415948
2016-11-30,230310.70045842163,446457.6504207938,224440.91828521583,224551.7436164753,232853.7304263052
2016-12-31,231081.85825145943,448903.4490230552,224945.94840393812,225780.71695047608,233388.88338057767
2017-01-31,231554.73504313675,450645.904839444,225041.3213151084,226415.0271286429,233860.1881472033
2017-02-28,231807.26238726257,451860.63613053755,225172.4154582719,226914.11172262495,234023.01212432983
2017-03-31,232060.96657045613,452834.2598586171,225472.5456722211,227436.04281438972,234290.39820631983
2017-04-30,232717.4962218857,454569.09702549624,226402.30875773032,228424.71467982224,234907.83334024213
2017-05-31,233587.9542160557,456316.341829924,227618.41857651845,229243.745388884,235940.7110219414
2017-06-30,234368.9143234128,456889.52265584475,228692.2669113757,229983.11572582775,236731.5894315259
2017-07-31,235049.6868513923,456514.25544132135,229502.9759291904,230776.59173349,237579.21004334
2017-08-31,235479.1362137222,455440.8632555288,229759.8578516071,231587.4284227107,238322.42878377717
2017-09-30,235931.70460208855,454798.9285911188,229756.31561800456,232538.7799074685,239102.96422633925
2017-10-31,236323.0875378799,454653.2996330864,229791.34967441185,233546.90317951143,239591.44558136305
2017-11-30,236927.29376225077,455447.100269474,230456.048844386,234942.3272295034,240239.25881037788
2017-12-31,237433.19249178233,456139.4114587284,231440.8362476031,236247.062161588,240972.280911924
2018-01-31,237910.53219527667,456484.28064292134,232211.48894638856,237132.50584552484,242084.34095166376
2018-02-28,238103.69624108227,456329.06979134533,232628.5724260386,237571.30892208105,242612.84017916056
2018-03-31,238473.283467326,456719.33942136914,232962.4541058195,238105.6481411708,243038.322314536
2018-04-30,238401.72573197575,457445.5225975746,233203.03402515617,238501.218993893,242836.62037270016
2018-05-31,238395.93752935648,458471.4124445775,233415.9653793527,238998.68493178193,242873.124417737
2018-06-30,238106.19374857587,458663.74190146313,233520.25640823893,239011.6328975592,242711.2248698595
2018-07-31,238218.9756814378,458205.9077588369,233887.44286135337,239212.1297547631,242733.05836223625
2018-08-31,238444.77348486264,457542.8411041973,234243.9128182406,239438.8715759399,242810.1696387717
2018-09-30,238881.47706008292,457232.83552728425,234686.89360891763,239806.2634274951,242942.1907410325
2018-10-31,239082.88413548944,457334.7268235158,234986.5506859383,239907.43352782735,242825.6403276259
