,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2009-08-22,5.12,11.1,215.445,245000.0,247286.00416870424,113718.1183132586,114779.17991538641,101455.1129197087,0,0.9446829649079234,1.0722645365038082,1.064745288940865,0.9665486976806253,1.005177997186111
2009-08-29,5.14,11.1,215.445,231750.0,247286.00416870424,107568.05681264361,114779.17991538641,91764.7816625028,0,0.9530397575325368,1.0698795180722893,1.0095245132003436,0.9680754622583314,1.0054707407452614
2009-09-05,5.08,11.1,215.861,207000.0,244982.8171580908,95895.04356970458,113491.00446958496,98460.06616148372,1,0.9466064645595929,1.0675050859996302,0.906418977267359,0.9607431254912658,1.0076680382302206
2009-09-12,5.07,11.1,215.861,231100.0,244982.8171580908,107059.63559883444,113491.00446958496,102600.91006547134,0,0.9492672739711231,1.0651411699575568,1.0118551888143237,0.9624332327310574,1.0079240150833393
2009-09-19,5.04,11.1,215.861,206000.0,244982.8171580908,95431.78248965771,113491.00446958496,95699.5035588253,1,0.9481224224006946,1.0627877002393666,0.9034018663277279,0.9639619154449349,1.0081970555557052
2009-09-26,5.04,11.1,215.861,216000.0,244982.8171580908,100064.39329012652,113491.00446958496,94319.22225749608,0,0.9511849889304251,1.0604446077530771,0.95003655255486,0.965495462056771,1.008470243998155
2009-10-03,4.94,10.7,216.509,232000.0,243546.96583047113,107154.8988725642,112488.14868225854,106212.7565658795,0,0.9351632749645056,1.0207301412584848,1.024569367057496,0.9614708792555337,1.0117128436539988
2009-10-10,4.87,10.7,216.509,213000.0,243546.96583047113,98379.28215455246,112488.14868225854,92533.84094754653,0,0.926024792481808,1.019234291994871,0.943625852519867,0.9631106673896693,1.011928176039781
2009-10-17,4.92,10.7,216.509,230275.0,243546.96583047113,106358.16524948155,112488.14868225854,90809.60788641212,0,0.9395864703073927,1.0181152790484904,1.0218698914185902,0.9645429626394773,1.0119723814393033
2009-10-24,5.0,10.7,216.509,200000.0,243546.96583047113,92374.91282117603,112488.14868225854,100856.1391892886,1,0.9581721024507093,1.0169987205264117,0.8875213474485638,0.9659795243254289,1.0120165907011605
2009-10-31,5.03,10.7,216.509,215000.0,243546.96583047113,99303.03128276423,112488.14868225854,99410.44085769118,1,0.9690278601066983,1.015884608362242,0.9551654888285792,0.9674203715388684,1.0120608038258587
2009-11-07,4.98,10.7,217.234,232250.0,242378.68261249,106912.36178498762,111574.929620819,104449.99792894915,0,0.9631778620843562,1.014772934524895,1.0324844909322266,0.9643041081930953,1.0154279651498368
2009-11-14,4.91,10.7,217.234,200500.0,242378.68261249,92296.78595431654,111574.929620819,112757.2130098812,1,0.9551457109722795,1.0136636910184003,0.8929895948639993,0.9657598858989257,1.0154061501272205
